Id,String,String,String,String
910049, Gold Ingot, 금 주괴, 金インゴット, 金锭
910050, Diamond, 다이아몬드, ダイヤモンド, 钻石
911001," ""A snack that rabbits love","토끼가 가장 좋아하는 간식, 비타민 A 가득!", ウサギが一番好きなおやつ、ビタミンAたっぷり！, 兔子最爱的零食，充满维生素A！
911002, The plain state before becoming popcorn,팝콘이 되기 전의 평범한 상태, ポップコーンになる前の普通の状態, 还没变成爆米花的普通状态
911003," ""If cooked well","잘 익히면 계란 후라이, 안 익히면 비상용 던지기 무기", うまく焼ければ目玉焼き、失敗すれば緊急用の投げ武器になるよ！, 煮得好是煎蛋，煮得不好就是紧急投掷武器！
911004, The dinner of every cat's dreams,고양이들의 꿈의 저녁 메뉴, 猫たちの夢のディナーメニュー, 猫咪梦寐以求的晚餐菜单
911005, Its potent aroma might even fend off enemies,강력한 냄새로 적을 물리칠 수도 있을지도?, 強烈な匂いで敵をやっつけられるかも ?, 靠强烈的气味也许能击退敌人 ?
911006, Slice it and sprinkle it on for a magically finished dish,썰어서 얹으면 요리의 마법 같은 마무리, 刻んで乗せれば、料理が魔法みたいに仕上がるよ!, 切碎撒上去，料理瞬间变得魔法般完美
911007, A mystical leaf that can lift your spirits just by its aroma,향기만으로도 기분이 좋아지는 신비의 풀잎, 香りだけで気分が上がる不思議な葉っぱ, 仅仅香气就能让人心情愉快的神奇叶子
911008," ""Eating them raw can be dangerous",그냥 먹으면 위험할 수도 있으니 구분 잘해야 함, そのまま食べると危険かも、ちゃんと見分けてね, 直接吃可能会有危险，要分清楚哦
911009, French fries are the food of the gods,감자 튀김은 신의 음식이야, ポテトフライは神の食べ物だよ, 薯条简直是神的食物
911010, A staple in any diet plan,다이어트 식단의 단골손님, ダイエットメニューの常連だね, 减肥餐的常客
911011, A clump of greens that carries the scent of the sea,바다의 향이 담긴 초록속 풀떼기, 海の香りがする緑の草, 带有海洋气息的绿草
911012, Fruit or vegetable ? Neither—it’s just a delicious ingredient,"과일인가, 채소인가? 둘 다 아님 ""맛있는 재료""임", 果物か野菜か？どっちでもなく、『美味しい素材』だよ, 是水果还是蔬菜？都不是，是“美味的原料”
911013, Perfect for a refreshing bowl of soup after an adventure,모험 후 시원한 국물에 딱!, 冒険の後に、さっぱりしたスープがピッタリ！, 冒险后来碗清爽的汤正合适！
911014, Open a walnut and discover wisdom and energy,"""호두""를 열어보면 지혜와 에너지가 나온다", 割ってみると、知恵と元気が溢れるよ！, 打开“核桃”，会释放出智慧和能量
911015, The indispensable hero of the meal,"""밥""상을 책임지는 일등 공신", ごはんがテーブルを支える、欠かせない存在だよ, 米饭是餐桌上不可或缺的英雄
911016, One a day keeps the doctor away,하루에 하나면 의사가 필요 없다고 함, 一日一個で医者いらずってね, 一天一个，就不愁看医生了
911017, Nature's sweetness that fills your mouth,입안 가득 퍼지는 자연의 달콤함, 自然の甘さが口いっぱいに広がるよ, 自然的甜蜜充满整个口腔
911018, Tart but refreshing!How about one to help you recover from fatigue ?,시큼한데 상큼! 피로 회복을 위해 하나 어때요?, 酸っぱくてさわやか！ 疲れた時に一つどう？, 酸酸的又清爽！恢复疲劳，来一个怎么样？
911019, The secret to strong bones—and cookies’ eternal companion,"강한 뼈의 비밀, 그리고 쿠키의 영원한 짝꿍", しっかりした骨の秘密と、クッキーは永遠の相棒だよ, 强健骨骼的秘密，还有饼干的永远搭档
911020, A golden fruit that resembles the sun,태양을 닮은 황금빛 과일, 太陽に似た黄金色のフルーツ, 像太阳一样的金色水果
911021, A party essential with friends—but avoid overdrinking!,"친구들과의 파티 필수템, 하지만 과음은 금물!", 友達とのパーティーに欠かせないアイテム、でも飲みすぎは禁物だよ！, 和朋友聚会必备，但别喝太多哦！
911022, A reliable companion that fills you up on any adventure,속이 든든해지는 모험가의 동반자, お腹も心も満たす冒険者の相棒だよ, 让人安心的冒险者伴侣
911023, A mysterious flavor that deepens with age,숙성될수록 깊어지는 풍미의 신비, 熟成するほど深まる風味の不思議, 越陈越香的神秘风味
911024, A breakfast staple—cook it to your liking!,"아침 식사 대표주자, 익힘 정도는 취향껏!", 朝食の定番、焼き加減はお好みでね！, 早餐代表作，熟度随你挑选！
911025, The finishing touch to an upscale atmosphere,고급스러운 분위기의 완성, 高級な雰囲気が完成한よ, 高贵氛围的完美呈现
911026," ""Every adventurer's must-have","모든 모험가의 필수품, 아이템이 가득 들어감", すべての冒険者必携、アイテムがたくさん入ってるよ, 所有冒险者必备，内含众多物品
911027, Drink it and watch your health and mana soar!,마시면 체력과 마나가 쑥쑥!, 飲めば体力とマナがグングン回復するよ!, 喝了能让体力和魔法值暴涨!
911028," ""It may not fly",날 수는 없지만 멋은 낼 수 있음, 飛べないけど、かっこよさは抜群だよ, 虽然不会飞，但也能帅气十足
911029, A sturdy rope with endless possibilities,용도가 무궁무진한 단단한 밧줄, 用途が無限大な、しっかりしたロープ, 用途无限的结实绳子
911030, The art of waiting,기다림의 미학, 待つことの美学, 等待的美学
911031, A friendly guide that always points you in the right direction,방향을 알려주는 착한 친구, 方向を教えてくれる優しい友達, 会指引方向的好朋友
911032, The dice have been thrown,주사위는 던져졌다, サイコロは投げられたよ, 骰子已经掷出
911033, A powerful weapon that ends battles with a single strike,한 방이면 끝나는 강력한 무기, 一撃で決まる強力な武器だよ, 一击就能结束战斗的强力武器
911034," ""Mirror","거울아, 거울아 누가 최고의 상인이니?", 鏡よ、鏡よ、誰が一番の商人かな？, 镜子，镜子，谁是最棒的商人？
911035, This shield can block any spear!,이 방패는 어떤 창이라도 막습니다!, この盾はどんな槍でも防げるよ!, 这面盾牌能抵挡任何长枪!
911036, A light read perfect for beginner bookworms,초보 독서가를 위한 가벼운 읽을거리, 初心者向けの軽い読み物だよ, 适合初学者的轻松读物
911037, A practical tip collection for adventurers,모험가를 위한 실용적인 팁 모음집, 冒険者向けの実用的なコツ集だよ, 为冒险者准备的实用小贴士集
911038, That hefty book looks like it could double as a pillow—what do you think ?,읽다가 잠들 것 같은 묵직한 책 베개로 써 버릴까?, 読んでいるうちに寝ちゃいそうな分厚い本、枕にしてみる ?, 那本厚厚的书，看着就想当枕头用呢，要不要试试 ?
911039, A rare tome said to be read only by mages,마법사들만 읽는다는 희귀 서적, 魔法使いだけが読むという希少な本だよ, 据说只有魔法师才会读的稀有书籍
911040, A challenging book brimming with advanced techniques,고급 기술이 가득한 난해한 책, 高度な技術が詰まった難解な本だよ, 充满高级技术的晦涩书籍
911041, A treasure from the sea; its gleaming shell is renowned for its beauty,"바다의 보물, 빛나는 껍질은 아름답다고 소문이 나있다", 海の宝、輝く殻は美しいと噂されてるよ, 传说海洋的宝藏，那闪亮的贝壳非常美丽
911042, A glowing stone imbued with mysterious energy,신비한 에너지가 깃든 빛나는 돌, 神秘的なエネルギーが宿る輝く石だよ, 蕴含神秘能量的闪亮石头
911043, A necklace that’s said to bring good fortune,행운과 가져다준다는 목걸이, 幸運をもたらすと言われるネックレスだよ, 据说能带来好运的项链
911044, A key of unknown purpose,"용도 모를 열쇠, 금으로 만들어져 가치는 있다", 用途不明だけど、金でできてるから価値はあるよ, 用途不明的钥匙，但因为是金做的，所以很值钱
911045, Its silver sheen is as lovely as moonlight,은빛 광택이 달빛처럼 아름답다, 銀色の輝きが月光のように美しいよ, 银色光泽如月光般美丽
911046, Watch out!It might be cursed,조심해! 저주가 있을지도 몰라, 気をつけて！呪いがあるかもよ, 小心！可能会有诅咒哦
911047, A helmet once worn by ancient warriors,고대 전사들이 쓰던 투구, 古代戦士が使っていた兜だよ, 古代战士使用的头盔
911048, A ceremonial tool once wielded by ancient priests,고대 제사장이 썼다는 제사용 도구, 古代の祭司が使ったという儀式用具だよ, 据说是古代祭司使用的祭祀工具
911049, Gold never betrays,금은 언제나 배신하지 않아, 金は決して裏切らないって言うしね, 黄金永不背叛
911050, A gem that captures light—a symbol of immense wealth,"빛을 담은 보석, 엄청난 부의 상징", 光を宿す宝石、莫大な富の象徴だよ, 蕴含光芒的宝石，象征着巨大的财富
950001,"Thanks to timely rain, the yield of <color=#FFFF00>{0}</color> has increased, and prices have dropped.",시기 적절하게 비가 온 덕분에 <color=#FFFF00>{0}</color>의 수확량이 늘었습니다. 가격이 하락합니다.,ちょうど良いタイミングで雨が降ったおかげで、<color=#FFFF00>{0}</color>の収穫量が増えて、価格が下がったよ。,正因为及时降雨，<color=#FFFF00>{0}</color>的收成增加了，价格下降了。
950002,"A new farming method has been developed; the yield of <color=#FFFF00>{0}</color> has increased, and prices have dropped.",새로운 농법이 개발되었습니다.<color=#FFFF00>{0}</color>의 수확량이 늘었습니다. 가격이 하락합니다.,新しい農法が開発されたおかげで、<color=#FFFF00>{0}</color>の収穫量が増えて、価格が下がったよ。,开发了新的耕作法，<color=#FFFF00>{0}</color>的产量增加了，价格下降了。
950003,"Vagrants have swept up <color=#FFFF00>{0}</color>, and prices have risen.",부랑자들이 <color=#FFFF00>{0}</color>을 휩쓸었습니다. 가격이 상승합니다.,放浪者たちが<color=#FFFF00>{0}</color>を席巻したよ。価格が上がったよ！,流浪汉们抢购了<color=#FFFF00>{0}</color>，价格上涨了。
950004,"Due to natural disasters, the harvest of <color=#FFFF00>{0}</color> has been poor, and prices have risen.","자연재해의 영향으로, <color=#FFFF00>{0}</color>이 흉작입니다. 가격이 상승합니다.",自然災害の影響で、<color=#FFFF00>{0}</color>の収穫が悪くなって、価格が上がったよ。,由于自然灾害，<color=#FFFF00>{0}</color>歉收，价格上涨了。
950005,"Among farmers, the cultivation of <color=#FFFF00>{0}</color> is popular, and prices have dropped.",농인들 사이에서의 <color=#FFFF00>{0}</color>농사가 인기입니다. 가격이 하락합니다.,農家の間で<color=#FFFF00>{0}</color>の栽培が人気で、価格が下がったよ。,在农民中，种植<color=#FFFF00>{0}</color>很受欢迎，价格下降了。
950006,"Due to trade with other countries, the supply of <color=#FFFF00>{0}</color> has increased, and prices have dropped.","다른 나라와의 무역으로, <color=#FFFF00>{0}</color>의 공급이 늘었습니다. 가격이 하락합니다.",他国との貿易で、<color=#FFFF00>{0}</color>の供給が増えて、価格が下がったよ。,由于与其他国家的贸易，<color=#FFFF00>{0}</color>的供应增加了，价格下降了。
950007,"Due to natural disasters, the harvest of <color=#FFFF00>{0}</color> has been poor, and prices have risen.","자연재해의 영향으로, <color=#FFFF00>{0}</color>이 흉작입니다. 가격이 상승합니다.",自然災害の影響で、<color=#FFFF00>{0}</color>の収穫が悪くなって、価格が上がったよ。,由于自然灾害，<color=#FFFF00>{0}</color>歉收，价格上涨了。
950008,"<color=#FFFF00>{0}</color> is trending among people, and prices have risen.",<color=#FFFF00>{0}</color> 이 사람들 사이에서 유행입니다. 가격이 상승합니다.,<color=#FFFF00>{0}</color>が人々の間で流行して、価格が上がったよ。,<color=#FFFF00>{0}</color>在民间流行，价格上涨了。
950009,"Due to the festival, more vendors are selling <color=#FFFF00>{0}</color>, and prices have dropped.","축제의 영향으로, <color=#FFFF00>{0}</color>을 판매하는 상인이 늘었습니다. 가격이 하락합니다.",祭りの影響で、<color=#FFFF00>{0}</color>を売る商人が増えて、価格が下がったよ。,由于节日影响，销售<color=#FFFF00>{0}</color>的商人增多了，价格下降了。
950010,"With a steady supply of raw materials, a large quantity of <color=#FFFF00>{0}</color> is being produced, and prices have dropped.","재료 수급이 원할하여, <color=#FFFF00>{0}</color>이 많이 만들어지고 있습니다. 가격이 하락합니다.",材料の供給が順調で、<color=#FFFF00>{0}</color>がたくさん生産され、価格が下がったよ。,由于原料供应顺畅，<color=#FFFF00>{0}</color>大量生产，价格下降了。
950011,"Among the nobility, <color=#FFFF00>{0}</color> is popular, and prices have risen.","귀족들 사이에서, <color=#FFFF00>{0}</color>이 인기입니다. 가격이 상승합니다.",貴族たちの間で、<color=#FFFF00>{0}</color>が人気になって、価格が上がったよ。,在贵族中，<color=#FFFF00>{0}</color>很受欢迎，价格上涨了。
950012,"Rumors have spread that <color=#FFFF00>{0}</color> is a health food, and prices have risen.",<color=#FFFF00>{0}</color>이 건강 식품이라는 소문이 났습니다. 가격이 상승합니다.,<color=#FFFF00>{0}</color>が健康食品だって噂され、価格が上がったよ。,传闻<color=#FFFF00>{0}</color>是健康食品，价格上涨了。
950013,"The production method has been leaked; more artisans are making <color=#FFFF00>{0}</color>, and prices have dropped.",제작법이 유출되었습니다. <color=#FFFF00>{0}</color>을 만드는 장인이 늘었습니다. 가격이 하락합니다.,製法が流出して、<color=#FFFF00>{0}</color>を作る職人が増えたので、価格が下がったよ。,制作工艺外泄，制造<color=#FFFF00>{0}</color>的匠人增多，价格下降了。
950014,"Rumors say that <color=#FFFF00>{0}</color> attracts evil spirits, and prices have dropped.",<color=#FFFF00>{0}</color>이 악령을 부른다고 소문이 났습니다. 가격이 하락합니다.,<color=#FFFF00>{0}</color>が悪霊を呼ぶって噂され、価格が下がったよ。,传闻<color=#FFFF00>{0}</color>会招来恶灵，价格下降了。
950015,"People consider <color=#FFFF00>{0}</color> essential, causing its price to rise.",<color=#FFFF00>{0}</color>을 사람들이 필수라고 여깁니다. 가격이 상승합니다.,みんなが<color=#FFFF00>{0}</color>を必需品だと思って、価格が上がったよ。,人们视<color=#FFFF00>{0}</color>为必需品，价格上涨了。
950016,The economy is in recession; the number of vendors selling <color=#FFFF00>{0}</color> has decreased.,경기가 불황입니다. <color=#FFFF00>{0}</color>을 파는 상인의 수가 감소했습니다,景気が低迷していて、<color=#FFFF00>{0}</color>を売る商人の数が減ったよ。,由于经济衰退，销售<color=#FFFF00>{0}</color>的商人数量减少了。
950017,"A war has broken out in a neighboring country; fewer people are seeking <color=#FFFF00>{0}</color>, and prices have dropped.",근처 나라에서 전쟁이 일어났습니다. <color=#FFFF00>{0}</color>을 구하는 사람이 적어집니다. 가격이 하락합니다.,近隣の国で戦争が起こり、<color=#FFFF00>{0}</color>を求める人が減って、価格が下がったよ。,由于邻国爆发战争，购买<color=#FFFF00>{0}</color>的人减少，价格下降了。
950018,"Rumors claim that the content of <color=#FFFF00>{0}</color> is bogus, and prices have dropped.",<color=#FFFF00>{0}</color>의 내용이 엉터리라고 소문이 났습니다. 가격이 하락합니다.,<color=#FFFF00>{0}</color>の内容がでたらめだって噂され、価格が下がったよ。,传闻<color=#FFFF00>{0}</color>的内容不靠谱，价格下降了。
950019,"Interest in books has increased, and <color=#FFFF00>{0}</color> has become popular.",서적에 관심있는 사람이 늘었습니다. <color=#FFFF00>{0}</color>이 인기입니다.,書籍に興味を持つ人が増えて、<color=#FFFF00>{0}</color>が人気になったよ。,对书籍感兴趣的人增多了，<color=#FFFF00>{0}</color>变得受欢迎了。
950020,An important exam is about to begin; the price of <color=#FFFF00>{0}</color> has risen.,곧 있으면 중요한 시험이 시작됩니다. <color=#FFFF00>{0}</color>의 가격이 상승합니다.,もうすぐ大事な試験が始まるから、<color=#FFFF00>{0}</color>の価格が上がるよ。,即将开始重要考试，<color=#FFFF00>{0}</color>的价格上涨了。
950021,Decreased productivity has led to a reduction in the supply of food.,"생산성이 감소하여, 식료품 공급량이 감소합니다.",生産性が低下して、食料の供給量が減ってしまったよ。,由于生产率下降，食品供应量减少了。
950022,Decreased productivity has led to an increase in the supply of food.,"생산성이 감소하여, 식료품 공급량이 증가합니다.",生産性が低下して、食料の供給量が増えるよ。,由于生产率下降，食品供应量反而增加了。
950023,0,0,0,0
950024,0,0,0,0
950025,0,0,0,0
950026,0,0,0,0
950027,0,0,0,0
950028,0,0,0,0
950029,0,0,0,0
950030,0,0,0,0
950031,0,0,0,0
950032,0,0,0,0
950033,0,0,0,0
950034,0,0,0,0
950035,0,0,0,0
950036,0,0,0,0
950037,0,0,0,0
950038,0,0,0,0
950039,0,0,0,0
950040,0,0,0,0
950041,0,0,0,0
950501,"Thanks to timely rain, the yield of <color=#FFFF00>{0}</color> has increased, and prices have dropped.",시기 적절하게 비가 온 덕분에 <color=#FFFF00>{0}</color>의 수확량이 늘었습니다. 가격이 하락합니다.,ちょうど良いタイミングで雨が降ったおかげで、<color=#FFFF00>{0}</color>の収穫量が増えて、価格が下がったよ。,正因为及时降雨，<color=#FFFF00>{0}</color>的收成增加了，价格下降了。
950502,"A new farming method has been developed; the yield of <color=#FFFF00>{0}</color> has increased, and prices have dropped.",새로운 농법이 개발되었습니다.<color=#FFFF00>{0}</color>의 수확량이 늘었습니다. 가격이 하락합니다.,新しい農法が開発されたおかげで、<color=#FFFF00>{0}</color>の収穫量が増えて、価格が下がったよ。,开发了新的耕作法，<color=#FFFF00>{0}</color>的产量增加了，价格下降了。
950503,"Vagrants have swept up <color=#FFFF00>{0}</color>, and prices have risen.",부랑자들이 <color=#FFFF00>{0}</color>를 휩쓸었습니다. 가격이 상승합니다.,放浪者たちが<color=#FFFF00>{0}</color>を席巻したよ。価格が上がったよ！,流浪汉们抢购了<color=#FFFF00>{0}</color>，价格上涨了。
950504,"Due to natural disasters, the harvest of <color=#FFFF00>{0}</color> has been poor, and prices have risen.","자연재해의 영향으로, <color=#FFFF00>{0}</color>가 흉작입니다. 가격이 상승합니다.",自然災害の影響で、<color=#FFFF00>{0}</color>の収穫が悪くなって、価格が上がったよ。,由于自然灾害，<color=#FFFF00>{0}</color>歉收，价格上涨了。
950505,"Among farmers, the cultivation of <color=#FFFF00>{0}</color> is popular, and prices have dropped.",농인들 사이에서의 <color=#FFFF00>{0}</color>농사가 인기입니다. 가격이 하락합니다.,農家の間で<color=#FFFF00>{0}</color>の栽培が人気で、価格が下がったよ。,在农民中，种植<color=#FFFF00>{0}</color>很受欢迎，价格下降了。
950506,"Due to trade with other countries, the supply of <color=#FFFF00>{0}</color> has increased, and prices have dropped.","다른 나라와의 무역으로, <color=#FFFF00>{0}</color>의 공급이 늘었습니다. 가격이 하락합니다.",他国との貿易で、<color=#FFFF00>{0}</color>の供給が増えて、価格が下がったよ。,由于与其他国家的贸易，<color=#FFFF00>{0}</color>的供应增加了，价格下降了。
950507,"Due to natural disasters, the harvest of <color=#FFFF00>{0}</color> has been poor, and prices have risen.","자연재해의 영향으로, <color=#FFFF00>{0}</color>가 흉작입니다. 가격이 상승합니다.",自然災害の影響で、<color=#FFFF00>{0}</color>の収穫が悪くなって、価格が上がったよ。,由于自然灾害，<color=#FFFF00>{0}</color>歉收，价格上涨了。
950508,"<color=#FFFF00>{0}</color> is trending among people, and prices have risen.",<color=#FFFF00>{0}</color>가 사람들 사이에서 유행입니다. 가격이 상승합니다.,<color=#FFFF00>{0}</color>が人々の間で流行して、価格が上がったよ。,<color=#FFFF00>{0}</color>在民间流行，价格上涨了。
950509,"Due to the festival, more vendors are selling <color=#FFFF00>{0}</color>, and prices have dropped.","축제의 영향으로, <color=#FFFF00>{0}</color>를 판매하는 상인이 늘었습니다. 가격이 하락합니다.",祭りの影響で、<color=#FFFF00>{0}</color>を売る商人が増えて、価格が下がったよ。,由于节日影响，销售<color=#FFFF00>{0}</color>的商人增多了，价格下降了。
950510,"With a steady supply of raw materials, a large quantity of <color=#FFFF00>{0}</color> is being produced, and prices have dropped.","재료 수급이 원할하여, <color=#FFFF00>{0}</color>가 많이 만들어지고 있습니다. 가격이 하락합니다.",材料の供給が順調で、<color=#FFFF00>{0}</color>がたくさん生産され、価格が下がったよ。,由于原料供应顺畅，<color=#FFFF00>{0}</color>大量生产，价格下降了。
950511,"Among the nobility, <color=#FFFF00>{0}</color> is popular, and prices have risen.","귀족들 사이에서, <color=#FFFF00>{0}</color>가 인기입니다. 가격이 상승합니다.",貴族たちの間で、<color=#FFFF00>{0}</color>が人気になって、価格が上がったよ。,在贵族中，<color=#FFFF00>{0}</color>很受欢迎，价格上涨了。
950512,"Rumors have spread that <color=#FFFF00>{0}</color> is a health food, and prices have risen.",<color=#FFFF00>{0}</color>가 건강 식품이라는 소문이 났습니다. 가격이 상승합니다.,<color=#FFFF00>{0}</color>が健康食品だって噂され、価格が上がったよ。,传闻<color=#FFFF00>{0}</color>是健康食品，价格上涨了。
950513,"The production method has been leaked; more artisans are making <color=#FFFF00>{0}</color>, and prices have dropped.",제작법이 유출되었습니다. <color=#FFFF00>{0}</color>를 만드는 장인이 늘었습니다. 가격이 하락합니다.,製法が流出して、<color=#FFFF00>{0}</color>を作る職人が増えたので、価格が下がったよ。,制作工艺外泄，制造<color=#FFFF00>{0}</color>的匠人增多，价格下降了。
950514,"Rumors say that <color=#FFFF00>{0}</color> attracts evil spirits, and prices have dropped.",<color=#FFFF00>{0}</color>가 악령을 부른다고 소문이 났습니다. 가격이 하락합니다.,<color=#FFFF00>{0}</color>が悪霊を呼ぶって噂され、価格が下がったよ。,传闻<color=#FFFF00>{0}</color>会招来恶灵，价格下降了。
950515,"People consider <color=#FFFF00>{0}</color> essential, causing its price to rise.",<color=#FFFF00>{0}</color>를 사람들이 필수라고 여깁니다. 가격이 상승합니다.,みんなが<color=#FFFF00>{0}</color>を必需品だと思って、価格が上がったよ。,人们视<color=#FFFF00>{0}</color>为必需品，价格上涨了。
950516,The economy is in recession; the number of vendors selling <color=#FFFF00>{0}</color> has decreased.,경기가 불황입니다. <color=#FFFF00>{0}</color>를 파는 상인의 수가 감소했습니다,景気が低迷していて、<color=#FFFF00>{0}</color>を売る商人の数が減ったよ。,由于经济衰退，销售<color=#FFFF00>{0}</color>的商人数量减少了。
950517,"A war has broken out in a neighboring country; fewer people are seeking <color=#FFFF00>{0}</color>, and prices have dropped.",근처 나라에서 전쟁이 일어났습니다. <color=#FFFF00>{0}</color>를 구하는 사람이 적어집니다. 가격이 하락합니다.,近隣の国で戦争が起こり、<color=#FFFF00>{0}</color>を求める人が減って、価格が下がったよ。,由于邻国爆发战争，购买<color=#FFFF00>{0}</color>的人减少，价格下降了。
950518,"Rumors claim that the content of <color=#FFFF00>{0}</color> is bogus, and prices have dropped.",<color=#FFFF00>{0}</color>의 내용이 엉터리라고 소문이 났습니다. 가격이 하락합니다.,<color=#FFFF00>{0}</color>の内容がでたらめだって噂され、価格が下がったよ。,传闻<color=#FFFF00>{0}</color>的内容不靠谱，价格下降了。
950519,"Interest in books has increased, and <color=#FFFF00>{0}</color> has become popular.",서적에 관심있는 사람이 늘었습니다. <color=#FFFF00>{0}</color>가 인기입니다.,書籍に興味を持つ人が増えて、<color=#FFFF00>{0}</color>が人気になったよ。,对书籍感兴趣的人增多了，<color=#FFFF00>{0}</color>变得受欢迎了。
950520,An important exam is about to begin; the price of <color=#FFFF00>{0}</color> has risen.,곧 있으면 중요한 시험이 시작됩니다. <color=#FFFF00>{0}</color>의 가격이 상승합니다.,もうすぐ大事な試験が始まるから、<color=#FFFF00>{0}</color>の価格が上がるよ。,即将开始重要考试，<color=#FFFF00>{0}</color>的价格上涨了。
950521,Decreased productivity has led to a reduction in the supply of food.,"생산성이 감소하여, 식료품 공급량이 감소합니다.",生産性が低下して、食料の供給量が減ってしまったよ。,由于生产率下降，食品供应量减少了。
950522,Decreased productivity has led to an increase in the supply of food.,"생산성이 감소하여, 식료품 공급량이 증가합니다.",生産性が低下して、食料の供給量が増えるよ。,由于生产率下降，食品供应量反而增加了。
998001, Tips:_nHealth is harmful for smoking.,팁 :_n상품의 가격은 매일 바뀝니다. 안 바뀌기도 하지만요., ヒント:_n(ウケる),温馨提示:_n哈哈
998002, Tips : _nTips2,팁 :_n게시판을 보면 트렌드를 알 수 있어요. 어떤 상품을 사고 파는 게 좋을까요?, ヒント : _nヒント2,温馨提示:_n提示2
998003, Tips : _nTips3,팁 :_n인벤토리 평균 가격을 참고해서 사고 팔 때를 잘 구분해봐요., ヒント : _nヒント3,温馨提示:_n提示3
998004, Tips : _nTips4,팁 :_n여관에서 투자를 하면 매일 코인을 받을 수 있어요. 안정적으로 벌 수 있다는 뜻이죠!, ヒント : _nヒント4,温馨提示:_n提示4
998005, Tips : _nTips5,팁 :_n랜덤 박스를 구매할 땐 가격을 잘 보고 사야해요., ヒント : _nヒント5,温馨提示:_n提示5
998006, Tips : _nTips6,"팁 :_n상품을 파는 상인은 세 명 있어요. 식료품 상인, 가공품 상인, 사치품 상인
비싼 아이템일수록 가격 변동폭이 커요.", ヒント : _nヒント6,温馨提示:_n提示6
998007, Tips : _nTips7,팁 :_n사치품은 게임에 하나 뿐이에요. 내가 갖고 있다면 다른 상인은 그 상품이 없다는 소리죠!, ヒント : _nヒント7,温馨提示:_n提示7
998008, Tips : _nTips8,팁 :_n코인을 빌려달라는 사람을 찾아보세요. 웃돈으로 제 때 잘 갚는다고 소문이 났답니다., ヒント : _nヒント8,温馨提示:_n提示8
998009, Tips : _nTips9,팁 :_n여관에서 도매를 이용해보세요. 싼 값에 많이 살 수 있어요., ヒント : _nヒント9,温馨提示:_n提示9
998010, Tips : _nTips10,팁 :_n타이틀 화면에서 다른 모드도 즐겨보세요! 도전 욕구를 자극하는 모드들이 준비되어 있어요!, ヒント : _nヒント10,温馨提示:_n提示10
998011, Tips : _nTips11,팁 :_n100일이 끝나면 게임이 끝나요. 그 때 가진 코인이 기록이 돼요., ヒント : _nヒント11,温馨提示:_n提示11
998012, Tips : _nTips12,팁 :_n상인들은 항상 모든 상품을 파는 게 아니에요. 오늘은 원하는 상품이 없을 수도 있어요., ヒント : _nヒント12,温馨提示:_n提示12
998013, Tips : _nTips13,팁 :_n, ヒント : _nヒント13,温馨提示:_n提示13
998014, Tips : _nTips14,팁 :_n, ヒント : _nヒント14,温馨提示:_n提示14
