Id,String
950014,"传闻<color=#FFFF00>{0}</color>会招来恶灵。价格下降。"
950015,"人们认为<color=#FFFF00>{0}</color>是必需品。价格上涨。"
950016,"经济衰退中，销售<color=#FFFF00>{0}</color>的商人数量减少了。"
950017,"邻国爆发战争，寻求<color=#FFFF00>{0}</color>的人减少了。价格下降。"
950018,"传闻<color=#FFFF00>{0}</color>的内容质量粗糙。价格下降。"
950019,"对书籍感兴趣的人增多，<color=#FFFF00>{0}</color>很受欢迎。"
950020,"即将开始重要考试，<color=#FFFF00>{0}</color>的价格上涨。"
950021,"由于生产率下降，食品供应量减少。"
950022,"由于生产率下降，食品供应量增加。"
950023,0
950024,0
950025,0
950026,0
950027,0
950028,0
950029,0
950030,0
950031,0
950032,0
950033,0
950034,0
950035,0
950036,0
950037,0
950038,0
950039,0
950040,0
950041,0
950501,"得益于及时的雨水，<color=#FFFF00>{0}</color>的产量增加了。价格下降。"
950502,"新农法已被开发，<color=#FFFF00>{0}</color>的产量增加了。价格下降。"
950503,"乞丐们席卷了<color=#FFFF00>{0}</color>。价格上涨。"
950504,"由于自然灾害的影响，<color=#FFFF00>{0}</color>歉收。价格上涨。"
950505,"在农民中，种植<color=#FFFF00>{0}</color>很受欢迎。价格下降。"
950506,"由于与其他国家的贸易，<color=#FFFF00>{0}</color>的供应量增加。价格下降。"
950507,"由于自然灾害的影响，<color=#FFFF00>{0}</color>歉收。价格上涨。"
950508,"<color=#FFFF00>{0}</color>在民众中流行。价格上涨。"
950509,"由于节日影响，销售<color=#FFFF00>{0}</color>的商人增多。价格下降。"
950510,"由于原料供应充足，大量的<color=#FFFF00>{0}</color>被生产出来。价格下降。"
950511,"在贵族中，<color=#FFFF00>{0}</color>很受欢迎。价格上涨。"
950512,"传闻<color=#FFFF00>{0}</color>是健康食品。价格上涨。"
950513,"制作方法泄露了，制作<color=#FFFF00>{0}</color>的匠人增加了。价格下降。"
950514,"传闻<color=#FFFF00>{0}</color>会招来恶灵。价格下降。"
950515,"人们认为<color=#FFFF00>{0}</color>是必需品。价格上涨。"
950516,"经济衰退中，销售<color=#FFFF00>{0}</color>的商人数量减少了。"
950517,"邻国爆发战争，寻求<color=#FFFF00>{0}</color>的人减少了。价格下降。"
950518,"传闻<color=#FFFF00>{0}</color>的内容质量粗糙。价格下降。"
950519,"对书籍感兴趣的人增多，<color=#FFFF00>{0}</color>很受欢迎。"
950520,"即将开始重要考试，<color=#FFFF00>{0}</color>的价格上涨。"
950521,"由于生产率下降，食品供应量减少。"
950522,"由于生产率下降，食品供应量增加。"
998001,"提示：商品价格每天都会变化。有时也不会。"
998002,"提示：看看公告板可以了解趋势。买卖哪种商品比较好？"
998003,"提示：参考库存平均价格，分辨买卖时机。"
998004,"提示：投资客栈，每天可以获得固定收益！"
998005,"提示：随机盒中有1到5个商品。右边的盒子里装着稍好一些的物品。"
998006,"提示：销售商品的商人有三种：食品商、加工品商和奢侈品商。物品越贵，价格波动越大。"
998007,"提示：游戏中只有一件奢侈品。如果你拥有它，其它商人就不会有这个商品！"
998008,"提示：找找那些借钱的人，据说他们会按时还钱，虽然会加点利息。"
998009,"提示：在客栈试试批发购买，可以低价大量购买，但当天无法收货。"
998010,"提示：在标题画面试试其他模式！有激发挑战欲望的模式在等待着你！"
998011,"提示：100天后，你所持有的金币将被记录，游戏结束后根据金币数量发放钻石。"
998012,"提示：商人并非总是出售所有商品。今天可能没有你想要的商品。"
998013,"提示：可以用钻石提升商人等级。等级越高，可使用的能力越多。"
998014,提示：
998015,提示：
998016,提示：
998017,提示：
998018,提示：
998019,提示：
998020,提示：
999001,新游戏
999002,资源限定模式
999003,退出游戏
999004,继续游戏
999005,"最高收益记录\n{0} 金币"
999006,重新开始
999007,返回主菜单
999008,退出
999009,平均购买价
999010,最大
999011,购买
999012,出售
999013,随机盒
999014,信息收集
999015,总额
999016,总销售额
999017,收集商品价格信息
999018,投资客栈
999019,收益：
999020,总投资额：{0}
999021,"容量：{0} / {1}\n租金：{2} / 天"
999022,等级：{0}
999023,公告板
999024,费用：
999025,借钱
999026,收回
999027,售价
999028,总额
999029,获得
999030,游戏模式
999031,日期
999032,金币
999033,最后一次游戏
999034,基本模式
999035,给我看钱
999036,无尽的旅程
999037,空槽
999038,删除
999039,30天挑战
999040,濒临破产
999041,子女成仇
999042,疯狂的双胞胎
999043,大仓库时代
999044,小仓库
999045,幽灵市场
999046,最高记录
999047,返回
999048,批发价格优势
999049,特别价格优势
999050,客栈收益提升
999051,贷款额度扩大
999052,高额还款利息
999053,库存成本降低
999054,初始金币福利
999055,初级商人
999056,有前途的商人
999057,熟练商人
999058,贸易大师
999059,商业之神
999060,注册
999061,升级
999062,"注册\n消耗: <color=#FFBB00>{0} {1}个</color>"
999063,市场制霸！
999064,制霸
999065,图鉴
999066,升高
999067,降低
999068,空白
999901,"支付仓库租金的金币不足。您将失去所有进度并返回主界面。是否继续？"
999902,金币不足。
999903,仓库容量不足。
999904,要进入下一天吗？
999905,"您要花费 {0} 个金币升级仓库吗？下一等级的仓库费用：每天 {1} 个金币。"
999906,"是否降低仓库等级？降级后仓库费用：每天 {0} 个金币。"
999907,"以比市场价格低<color=#FFFF00>{0}</color>%的价格预订订单"
999908,"每天可以购买每种箱子各一个，内含1到5个相同商品。如果不取走，商品将会消失。"
999909,"购买商品后，第二天即可获得。即使不领取，也不会消失，但也不会被新的订单取代。"
999910,"每天只能收集一次信息。收集的信息可能会重复。"
999911,"每天可以获得一次收益。收益为总投资额的{0}%，且投资资金不会返还，请谨慎投资。"
999912,"老板，请借给我<color=#FFFF00>{0}</color>个金币。<color=#FFFF00>{1}</color>天后我将以<color=#FFFF00>{2}</color>个金币偿还。"
999913,仓库已达到最高等级。
999914,仓库已达到最低等级。
999915,"只有当持有商品不超过{0}格时才能降级。"
999916,"老板，这是我承诺的<color=#FFFF00>{0}</color>个金币。"
999917,上次多谢了，老板。
999918,谢谢您，老板。
999919,"据说<color=#FFFF00>{0}</color>的{1}是{2}个金币。"
999920,最低价
999921,最高价
999922,"可以以比当前市场价格高<color=#FFFF00>{0}</color>%的价格出售！！"
999923,"该槽位的进度将被删除。是否继续？"
999924,"该槽位的进度将被覆盖。是否继续？"
999925,该槽位的数据已被删除。
999926,"这是最后一天。游戏将结束并进入结算画面。是否继续？"
999927,"支付仓库租金和还款的金币不足。您将失去所有进度并返回主界面。是否继续？"
999928,"将升级所选项目。是否继续？"
999929,"累计购买金额： <color=#FFFF00>{0}</color>\n购买均价： <color=#FFFF00>{1}</color>\n\n累计销售金额： <color=#FFFF00>{2}</color>\n销售均价： <color=#FFFF00>{3}</color>\n\n获得数量： <color=#FFFF00>{4}</color>"
999930,物品不足。
999931,要维持几天？
999932,"如何处理<color=#FFFF00>{0}</color>的<color=#FFFF00>价格</color>？"
999933,统治市场。
999934,0
999935,"抱怨钱太少？别担心！"
999936,"无限畅玩模式，无时间限制！随心所欲地慢慢扩展你的帝国。"
999937,0
999938,0
999939,"为时间就是金钱的人准备的压缩课程！仅在30天内必须取得最大成就。短暂的时间使得挑战更加刺激。"
999940,"你的账户余额开始见底。每天都有银行催款单送来。再也没有退路了！"
999941,"孩子花钱如流水！每晚余额减半的刺激感。你能在他们花光之前增加财富吗？"
999942,"两个无法管教的孩子！每天余额清零的极端难度。究竟能否生存下来？"
999943,"你拥有一个巨大的仓库，但无法降级！如何利用充足的空间是成功的关键。"
999944,"你以一个小仓库开始。不幸的是，升级被禁止。你必须高效管理有限的资源！"
999945,"街上一个商人也看不到。在这个如鬼城般的地方，你必须生存下来。"
999946,"每次升级，批发购买价格额外降低0.2%。"
999947,"每次升级，你可以以额外高0.2%的价格向特殊商人出售物品。"
999948,"每次升级，客栈的每日收益额外增加0.1%。"
999949,"每次升级，可贷款的最高金额都会增加。"
999950,"每次升级，贷款的还款利率都会增加。"
999951,"每次升级，仓库费用降低1%。"
999952,"每次升级，初始金币数量增加1%。"
999953,"<color=#00FF00>观测最高价</color> : {0}"
999954,"<color=#FF0000>观测最低价</color> : {0}"
999955,注册图鉴后会显示隐藏信息。
999956,"你已成为有前途的商人。\n可以使用物品图鉴功能。\n（在公告板下方的按钮）"
999957,"你已成为熟练的商人。\n购买物品时可以查看与前日价格的变动。"
999958,"你已成为贸易大师。\n现在可以推测随机盒中物品的数量。"
999959,"你已成为商业之神。\n可以使用市场制霸能力。\n（在图鉴中可选择）"
999960,"有人正在推高<color=#FFFF00>{0}</color>的价格。"
999961,"有人正在压低<color=#FFFF00>{0}</color>的价格。"
999962,0
999963,0
999964,0
999965,0
999966,0
999967,0
999968,0
999969,0
999970,0
999971,0
999972,0
999973,0
999974,0
999975,0
999976,0
999977,0
999978,0
999979,0
999980,0
999981,0
999982,0
999983,0
999984,0
999985,0
999986,0
999987,0
999988,0
999989,0
999990,"策划：조용준\n开发：이재혁"
999991,"你好，你醒了。"
999992,"你以为我是谁？"
999993,"那不重要，你必须通过经商来赚钱。"
999994,"什么？你不知道怎么做生意？不试试怎么会知道。"
999995,"我会借给你相当于初始资金的金币，试试看吧。"
999996,"50天后只需还双倍就行，挺简单的吧？"
999997,"那么，祝你好运…\n（点击跳过按钮继续）"
999998,跳过
999999,默认
